SNIGGERS,LETMECONFESSTHATWETW,DRBSK GFFXR AYZLR LORBC 
SUBLAYER,ASADECREPITFATHERTAK,SMBOE AVVHC UQARL VJNBV 
HOMONYMS,HOWCANMYMUSEWANTSUBJ,OCIQN LYQTI ESJYZ LZINX 
CANTICLE,OHOWTHYWORTHWITHMANN,QHBPB JJAQR GAEKE LOAAG 
CASEBOOK,TAKEALLMYLOVESMYLOVE,VACIB ZZWAL GZFGA INONI 
WHISTLED,THOSEPETTYWRONGSTHAT,POWKX AIWPF EJHYK VPOIL 
PLUMBERS,THATTHOUHASTHERITISN,ISUFU LFMWL MFIII AITMZ 
SOILINGS,WHENMOSTIWINKTHENDOM,OVMYU BYLAK QYSGN WFRWX 
FLUORIDE,IFTHEDULLSUBSTANCEOF,NQNVV LXPQD OPJBD RHPIT 
PROSPECT,THEOTHERTWOSLIGHTAIR,IYSGI LGKIN CKAMI AIRWJ 
BATTLERS,MINEEYEANDHEARTAREAT,NIGXP CVSOD AXLVK SSETM 
ROUNDEST,BETWIXTMINEEYEANDHEA,SSNJL BLFZB YRBIS GUVYN 
WALKWAYS,HOWCAREFULWASIWHENIT,DOHMW RCXQL HKOIU ZANTD 
REGISTER,AGAINSTTHATTIMEIFEVE,RKGQF LXKYE ZBAFI ZWIBM 
DICTATOR,HOWHEAVYDOIJOURNEYON,KWYAE TJPGW KCONF EHGQG 
DUOLOGUE,THUSCANMYLOVEEXCUSET,WBIDQ GHQBF CGSKR GXMSE 
REVEILLE,SOAMIASTHERICHWHOSEB,JSVQQ LDXYI MMKSH LFWZF 
ASSENTED,WHATISYOURSUBSTANCEW,WZSXV LCRUJ KYOLX DNUWA 
ALTITUDE,OHOWMUCHMOREDOTHBEAU,OSHEF OFLMZ KMWIW LBPTC 
CUSTOMER,NOTMARBLENORTHEGILDE,PILFO DFCGH GKHTI XKFVX 
SCUTTLED,SWEETLOVERENEWTHYFOR,KYYXM WSYWT YGXHX KQHIK 
WELLHEAD,BEINGYOURSLAVEWHATSH,XITYN COXNW WLCIW KWXDS 
DESTRUCT,THATGODFORBIDTHATMAD,WLSMX IFYRV TBUNJ TWQSW 
OVERDOSE,IFTHEREBENOTHINGNEWB,WAXYH FWFSI SKKWF KBZAS 
BLISSFUL,LIKEASTHEWAVESMAKETO,MTSWS XNSFH INWXG LLPBG 
EYEBROWS,ISITTHYWILLTHYIMAGES,MQMUK VUOMJ PUYME EEEIT 
REVALUED,SINOFSELFLOVEPOSSESS,JMIOQ MIOWP JVPJS VJINS 
CRUMBLED,AGAINSTMYLOVESHALLBE,CXUUO DXPAC IHFDL DNCVQ 
MERITING,WHENIHAVESEENBYTIMES,ILVVB PNBQW VMGJL ZUQVA 
RELATING,SINCEBRASSNORSTONENO,JMYCX JEGJW YOKAG UEIYO 
NECKLACE,TIREDWITHALLTHESEFOR,GMTOO WKXUE NVEHG WRJQB 
WINTRIER,AHWHEREFOREWITHINFEC,WPJAV ZIWKZ RPZBL ZJNRV 
TEACHERS,THUSISHISCHEEKTHEMAP,MLUUP WYALG HGLOK ZXQAR 
SLIMLINE,THOSEPARTSOFTHEETHAT,LSWEP XNVLD WREPR ILSIF 
FUNEREAL,THATTHOUARTBLAMEDSHA,YBNXK LOFFL GFCEM PIMUE 
STEPWISE,NOLONGERMOURNFORMEWH,FHPDJ OWVEH YGJNG VEXAW 
SOFTNESS,OLESTTHEWORLDSHOULDT,GZJLG XZWOC WEQWZ GMZIM 
SNAPPING,THATTIMEOFYEARTHOUMA,LUAII QZKGS YTPZG NGHMP 
STAFFING,BUTBECONTENTEDWHENTH,TNTGJ KBTLX NYJLJ NWGTM 
DUCKLING,SOAREYOUTOMYTHOUGHTS,VICBP GBAWI OIEPB AJBVC 
SHRIVELS,WHYISMYVERSESOBARREN,OOPQN QJNWY JMNSM SJYVV 
PIRATING,THYGLASSWILLSHOWTHEE,IPPGE IFYLQ CLLPB CIPVE 
FORELEGS,SOOFTHAVEIINVOKEDTHE,XCFJE LGNJW ZRGSQ WIHYI 
YOUNGEST,WHILSTIALONEDIDCALLU,UVCYY XATJC HRJMV VYZFH 
TREFOILS,OHOWIFAINTWHENIOFYOU,HYSBW NLAGK AMSVT GYPSZ 
RESCUERS,ORISHALLLIVEYOUREPIT,FVAUB ECDCM NGSSL JVTAV 
FOREWORD,IGRANTTHOUWERTNOTMAR,NUIEJ HKKTI NINHE RYARV 
AUTOMATS,INEVERSAWTHATYOUDIDP,IHXJQ RLSWN AOFYH MDCWD 
PARADING,WHOISITTHATSAYSMOSTW,LHFIV QGZWA KSDGF SDSKW 
ZEALOTRY,MYTONGUETIEDMUSEINMA,LCTZB ZLCSM EOANJ CHRML 
BROWNING,WASITTHEPROUDFULLSAI,XRGEG BUKQI CQQNH RMJOE 
ORDAINED,FAREWELLTHOUARTTOODE,TRUEE RPOHY RUIEX WCFGE 
RETITLED,WHENTHOUSHALTBEDISPO,NLXVM SSXJL TTMMI GZWIW 
SKEWNESS,SAYTHATTHOUDIDSTFORS,KKCPU ELLZY YZVHK LXYVO 
RECURING,THENHATEMEWHENTHOUWI,KLGHY IGKDI YBVVG NFYYC 
THORNIER,SOMEGLORYINTHEIRBIRT,LVAVT TSIRP BKUMM IUPFK 
INCIDENT,BUTDOTHYWORSTTOSTEAL,JHVLR XUREB TAWXB LBRCT 
COMEDIAN,SOSHALLILIVESUPPOSIN,UCELD TLVNW HIVCP CQGUR 
CALCUTTA,THEYTHATHAVEPOWERTOH,VHPAN ATTJA GGJHP ETTZJ 
PUDDINGS,HOWSWEETANDLOVELYDOS,WIZVE RKLPH GOWIK DNXRV 
ENSCONCE,SOMESAYTHYFAULTISYOU,WBEGG NAXLL XCIYV MWLGW 
ISLANDER,HOWLIKEAWINTERHATHMY,PGHLV NIREA YTRUL RBZXY 
TRIPTYCH,FROMYOUHAVEIBEENABSE,YIWBR MWOTM MXUCG UTSAT 
SELFMADE,THEFORWARDVIOLETTHUS,LLPKA RZEJH GNALH XLLFX 
SODOMITE,WHEREARTTHOUMUSETHAT,OVHFQ IKXLV RIYCL ILVDH 
BEAUTIES,OTRUANTMUSEWHATSHALL,PXROT VXEVW EQAIX KIELF 
PANORAMA,MYLOVEISSTRENGTHENDT,BYYCM EUSHT ESEGF HTNQH 
UNJAMMED,ALACKWHATPOVERTYMYMU,UYJCW ILDNC XVQDX BGLVU 
REFUNDED,TOMEFAIRFRIENDYOUNEV,KSRYS DMUWV NYAGC RLRJP 
CRUSHING,LETNOTMYLOVEBECALLDI,NVNFV BZENF PWIMP GNCXA 
JEALOUSY,WHENINTHECHRONICLEOF,FLEYW HLFNG HCCHA AUIOQ 
RUBBINGS,WHENINTHECHRONICLEOF,NBFOQ AZZVW ISWAO UCYPG 
RELIABLY,NOTMINEOWNFEARSNORTH,ESEUI OPMNR QMASD LFVEP 
SMALLPOX,WHATSINTHEBRAINTHATI,OTAED XBQZQ BCLXB QZMTT 
CULPRITS,ONEVERSAYTHATIWASFAL,QHPKV ZLSAN SPKQP SUZLA 
UNTAPPED,ALASTISTRUEIHAVEGONE,UYTSI XWWLH XIWPZ HABGE 
UNTAUGHT,OFORMYSAKEDOYOUWITHF,ISHRG EZTER WOSUB PCGAF 
FIRESIDE,YOURLOVEANDPITYDOTHT,DWLVD WYIFV UTABB HTBYX 
CURTAILS,SINCEILEFTYOUMINEEYE,UCEVE QWWHN PHUUT FGYPX 
HAVERING,ORWHETHERDOTHMYMINDB,VRRLV BUKYD JXYUL SPNYF 
STEPSONS,THOSELINESTHATIBEFOR,LASHW ZVFWL XWSHV TWYSG 
PIERCERS,LETMENOTTOTHEMARRIAG,AMXDG RFLIW XYGQR JGQEX 
ATTAINED,ACCUSEMETHUSTHATIHAV,AVVUA RQHTA NSBUE WIATV 
ARSENIDE,LIKEASTOMAKEOURAPPET,LZCIN AWSMR CIBCU EPGWX 
PROVIDES,WHATPOTIONSHAVEIDRUN,LYOOX RXADE GCIYI ASIII 
STIPPLES,THATYOUWEREONCEUNKIN,LAIIN ZYOWK MDCNI MFDQC 
FLASHILY,TISBETTERTOBEVILETHA,YTSTL BECWE OTLDT JJEHS 
AARDWOLF,THYGIFTTHYTABLESAREW,THPJE TEYHY KDXZP XARVZ 
REMEDIES,NOTIMETHOUSHALTNOTBO,ESFMP MXZFY ELDTX FFXNS 
DRAWABLE,IFMYDEARLOVEWEREBUTT,LWMUD FLVOF VAWFC IELTP 
STARDUST,WERETAUGHTTOMEIBORET,OXRVW UMZZM TFPYA UGKEK 
FORGIVEN,OTHOUMYLOVELYBOYWHOI,THYUC HCYTJ VRGWS LBVFO 
MOROCCAN,INTHEOLDAGEBLACKWASN,UBKVG QLQMU VPNCC XIOJB 
DENTISTS,HOWOFTWHENTHOUMYMUSI,KSJHN LPZHR GAWMF QPYFB 
ABSURDER,THEEXPENSEOFSPIRITIN,TIWYO SIESF GZJSM IIUAH 
MAGNOLIA,MYMISTRESSEYESARENOT,YYSVG EZEES KLSDI RQNUG 
WRINKLES,THOUARTASTYRANNOUSSO,PYWHK CXSOK GEKYR GQJAB 
SPRINGER,THINEEYESILOVEANDTHE,LWZVR KCVKX CWIKE EVIYM 
CALMNESS,BESHREWTHATHEARTTHAT,DEDTE IOLJA ETREJ LVHLF 
CAPERING,SONOWIHAVECONFESSDTH,UOCSN QUGXE RSENR YUDIL 
SOFTENED,WHOEVERHATHHERWISHTH,OVTXZ RVKSH MAIEA LKVYA 
DUCKINGS,IFTHYSOULCHEQUETHEET,LZVRG FUMOW JOYHK LKYGD 
DESPOTIC,THOUBLINDFOOLLOVEWHA,WLGJP EQPGJ GDZEW XHAZP 
CRASHERS,WHENMYLOVESWEARSTHAT,YYEFT CCGXV SOLEI KVYAL 
DELIGHTS,OCALLNOTMETOJUSTIFYT,RGLTR UHLPI EWPBL LLJJB 
CAMPUSES,BEWISEASTHOUARTCRUEL,DEIXM WEKVH AJUJX UTUQA 
PACIFIST,INFAITHIDONOTLOVETHE,XNHIN BZBSO PWYTG OTTJM 
EDGEWAYS,LOVEISMYSINANDTHYDEA,PRBIE SKQWL TEJDR ZCGKE 
DESCRIBE,LOASACAREFULHOUSEWIF,OSSUR KBVHJ MNYWV WHAAH 
MILLINER,TWOLOVESIHAVEOFCOMFO,FEZWW IIJUP LGMBJ TAUQZ 
CAPYBARA,THOSELIPSTHATLOVESOW,VHDQF LZPUT WYULF VGSDU 
SURFACER,POORSOULTHECENTREOFM,HIFWS QYCLB VHEPX IWIWR 
SNIFFERS,MYLOVEISASAFEVERLONG,ELTTA IZKSF IKJZV JDBVL 
OVERFULL,OMEWHATEYESHATHLOVEP,CHINM UEPMZ WYFNS WCQIG 
MICHIGAN,CANSTTHOUOCRUELSAYIL,OIPZB ZHBGW EYCKL FMGKS 
NIGHTIES,OFROMWHATPOWERHASTTH,BNXVF ELSGX UDXZL SFBZO 
BEDAZZLE,LOVEISTOOYOUNGTOKNOW,MSYEH RESPC RUMFE SLRRW 
EVENNESS,INLOVINGTHEETHOUKNOW,MIPBI MFYXC IRGLG MOISJ 
FUNCTION,CUPIDLAIDBYHISBRANDA,HOCKW TOVIV LJBAP EFHQC 
ORBITING,THELITTLELOVEGODLYIN,HYFTB BGRSC PDXOB JZPJV 
KALAHARI,FROMFAIRESTCREATURES,PRZMM AZZOS ECYER BERPS 
TOTALLED,WHENFORTYWINTERSSHAL,PVXNQ ZVWRK BNEPV VLVTL 
SETBACKS,LOOKINTHYGLASSANDTEL,DSHLI PDZQK EBSUK FVXXM 
ROTATION,UNTHRIFTYLOVELINESSW,LBMHK QTGPZ HVXTW AVGLW 
SOLVENCY,THOSEHOURSTHATWITHGE,LVZNI UQSJG ECEGY GLVRZ 
GIANTISM,THENLETNOTWINTERSRAG,ZPEAE MLZUB WVGBW DYZAT 
RADIATED,LOINTHEORIENTWHENTHE,COLVT AIRII HVTPL HETKM 
TRICKLES,MUSICTOHEARWHYHEARST,FLAKM ESZXR ZYRJL WTIAV 
ABORTIVE,ISITFORFEARTOWETAWID,ITWKY WMJEB FKHEZ XAXWU 
SOCALLED,FORSHAMEDENYTHATTHOU,XCTSS LQHVS PYESE WLVQU 
BREAKING,ASFASTASTHOUSHALTWAN,BJJAC BNYUY SUCPN RUNEN 
SYNOPSES,WHENIDOCOUNTTHECLOCK,OFRBX VSUGS AHIZI UDMPY 
HARANGUE,OTHATYOUWEREYOURSELF,VTYAG EIYDE IELUO VZECF 
ENMESHED,NOTFROMTHESTARSDOIMY,RBFJJ VQWLR EXSYW GSVYC 
SITTINGS,WHENICONSIDEREVERYTH,OPXGQ PUFKQ WXZRB WJGMA 
BEDCOVER,BUTWHEREFOREDONOTYOU,CYWYV ZVVGS UGRJR FUCRW 
SURETIES,WHOWILLBELIEVEMYVERS,OBFAB TPTWF ZIOMQ QNYIW 
BARMAIDS,SHALLICOMPARETHEETOA,THRXL QFGNP RDEBK WFTFM 
SQUAWKED,DEVOURINGTIMEBLUNTTH,VUPOQ BMQYJ CMALP XFJNH 
WINCHING,AWOMANSFACEWITHNATUR,WEBOH VFLWK RYPBU TWBHT 
BULLDOGS,SOISITNOTWITHMEASWIT,TITDL HTGUQ TEKAK STQTE 
REPOSING,MYGLASSSHALLNOTPERSU,DCVZS AFYYE AZFWG VVVHI 
PARIETAL,ASANUNPERFECTACTORON,PSRVY GPPGF VKXTC EDRFV 
SOLITARY,MINEEYEHATHPLAYDTHEP,EWYMX YVFSH SXEAP BLVPX 
COLLEGES,LETTHOSEWHOAREINFAVO,NSEEL UWWYV ZLVKM FHOGZ 
WHIZZKID,LORDOFMYLOVETOWHOMIN,HVZCN PUBHV DDSYE KKTQM 
REACHING,WEARYWITHTOILIHASTEM,NIATF EVZYX OKSQU GJXEO 
SUBLIMED,HOWCANITHENRETURNINH,ZIXNI ZMWZY OCMFY UFCOS 
EXAMINER,WHENINDISGRACEWITHFO,AEEZQ AHZWD RMKRA ZXEFA 
LANDSIDE,WHENTOTHESESSIONSOFS,HHRQL WWLPS RVKQR RDOSV 
DRAFTERS,THYBOSOMISENDEAREDWI,WYYGH WFELJ ESWIR JHUWN 
CANTATAS,IFTHOUSURVIVEMYWELLC,KFGAO NSMTV VOEFY OGLYV 
INSOLENT,FULLMANYAGLORIOUSMOR,NHDZX EARIT DCCMB NAZGF 
HEIGHTEN,WHYDIDSTTHOUPROMISES,DLGJP WWGAL WAWKS ZPWMY 
COWSHEDS,NOMOREBEGRIEVEDATTHA,PCIGY IEWIF EWCIG SVHDS 
ILLUSIVE,LETMECONFESSTHATWETW,TPEGW KJRNP DMLPV XEPEQ 
MUDDIEST,ASADECREPITFATHERTAK,MMDGM GJXBC WIIXZ XDNDN 
SWEEPING,HOWCANMYMUSEWANTSUBJ,ZKAGP VZEEQ WILIA ZKQFN 
BRANCHED,OHOWTHYWORTHWITHMANN,PYOJV OCZPI TUYPX KNRNA 
BOUQUETS,TAKEALLMYLOVESMYLOVE,UOEUU PEEZZ ILYWF QMCPU 
TIPSTERS,THOSEPETTYWRONGSTHAT,MPDKX TVLMG LJHRX KMPPL 
CRITERIA,THATTHOUHASTHERITISN,VYIMX YWUJR AMLVZ IVZAG 
SHOOTERS,WHENMOSTIWINKTHENDOM,OOSBF SJLAD WBDXY WFKCA 
MASSLESS,IFTHEDULLSUBSTANCEOF,UFLZP HMDXS MTDXS FOEGX 
SEABOARD,THEOTHERTWOSLIGHTAIR,LLEPH HVULA OTZIX KLEIS 
PINPRICK,MINEEYEANDHEARTAREAT,BQATV GGKCL UTRZV KGMNI 
MANSIONS,BETWIXTMINEEYEANDHEA,NEGOQ LGEUN RWGSN FPHRS 
USEFULLY,HOWCAREFULWASIWHENIT,BGAHU CPDOD AFMTH FYFMY 
GORGEOUS,AGAINSTTHATTIMEIFEVE,GUROR GNLNO KZMAY ALSMK 
UNPEELED,HOWHEAVYDOIJOURNEYON,BBLLI LZBXB XNSFV QYLDR 
VOUCHERS,THUSCANMYLOVEEXCUSET,OVOUJ EEETZ IXLIO UPGYV 
SPARSELY,SOAMIASTHERICHWHOSEB,KDADA EDRZT RZULH FGHES 
TRADINGS,WHATISYOURSUBSTANCEW,PYAWQ FEGNI SXJFZ SGTEZ 
SUBCLASS,OHOWMUCHMOREDOTHBEAU,GBPYX UUZEI SGOOL ZTYBW 
DROLLERY,NOTMARBLENORTHEGILDE,QFHXL VSJHE CCELV ELCRP 
WRECKAGE,SWEETLOVERENEWTHYFOR,ONIGD LUZAI IPOWZ LUWST 
CRAFTING,BEINGYOURSLAVEWHATSH,DVISZ GBATJ LFOMJ NCKSM 
DATELINE,THATGODFORBIDTHATMAD,WHTXR WQJRR UMOBU EWMTH 
WOODBINE,IFTHEREBENOTHINGNEWB,ETHKF ZRFAB CWIQA KJSKE 
MENISCUS,LIKEASTHEWAVESMAKETO,XMXMS UNZQA NDWUG SWIGW 
BREASTED,ISITTHYWILLTHYIMAGES,JJMTL ACZJC PTZRM PBXIS 
DEVIANTS,SINOFSELFLOVEPOSSESS,VMIWF FXDIP JDECH KVINA 
AARDVARK,AGAINSTMYLOVESHALLBE,AGRLI SKWYL FYZSY KLLSH 
WOODCUTS,WHENIHAVESEENBYTIMES,SVSQK BTNAG SHPVR LEASV 
PETUNIAS,SINCEBRASSNORSTONENO,HMGWR JRSHW GIEAT GCIGI 
BRICKRED,TIREDWITHALLTHESEFOR,UZZGN NMWIR TNDYI VFWWT 
SCEPTRES,AHWHEREFOREWITHINFEC,SJAWX IIXGT ILBKL AFHIR 
SKINLESS,THUSISHISCHEEKTHEMAP,LRCFT WZAKM PRPOL ZWWIC 
RELIABLE,THOSEPARTSOFTHEETHAT,KLZAE QLVKW ZNTIP IKLLB 
SKYDIVES,THATTHOUARTBLAMEDSHA,LRYWB CSMSB RETVQ WVCFD 
COSMICAL,NOLONGERMOURNFORMEWH,PCDAV IECOC MDVHO COSOT 
SEETHING,OLESTTHEWORLDSHOULDT,GPILA BUKOS VEKAU UMPHM 
SUITABLE,THATTIMEOFYEARTHOUMA,LBIMT JXIGZ GXASE LGOUT 
COMMUNES,BUTBECONTENTEDWHENTH,DIFNY PSFVS ZFYQA ZGBFT 
GRANDEUR,SOAREYOUTOMYTHOUGHTS,YFAEH CILZF MLWLI LMYTF 
DELUSIVE,WHYISMYVERSESOBARREN,ZLJCK UTZHV DYKWW EUVPH 
STAPLERS,THYGLASSWILLSHOWTHEE,LAYVW EJKOB LADLF OLAET 
SUNSPOTS,SOOFTHAVEIINVOKEDTHE,KIBXI VTNWC VFKCD WVNUW 
STINGRAY,WHILSTIALONEDIDCALLU,OAQYY KIYDH VRJZD ASETH 
MADWOMAN,OHOWIFAINTWHENIOFYOU,AHRSW RAVZT ZDSZI BRYRQ 
PRESTIGE,ORISHALLLIVEYOUREPIT,DIMKA IRPAZ ZWRWA VTGML 
DELIMITS,IGRANTTHOUWERTNOTMAR,LKCIZ BMZRY HMDBG GWQLZ 
DEMENTIA,INEVERSAWTHATYOUDIDP,LRQZR KAAZX TEGRW UGMPT 
BRIGANDS,WHOISITTHATSAYSMOSTW,XYWOS VWLIR BYALV EPJBC 
TURRETED,MYTONGUETIEDMUSEINMA,FSKFR ZYHMC VUQNW HBHDR 
PERSISTS,WASITTHEPROUDFULLSAI,LEJAB LAWEV FMLXN DAWRA 
SEAGOING,FAREWELLTHOUARTTOODE,XERKK MYRLL OAOZG ZGSDK 
PLUTONIC,WHENTHOUSHALTBEDISPO,LSYGH UWWHS UEHOM FXDJH 
DWINDLED,SAYTHATTHOUDIDSTFORS,VWGGK LXWKK CQLOW WIKZF 
GENTLING,THENHATEMEWHENTHOUWI,ZLRGS IGKSI JAPVG NUYJB 
ALPHABET,SOMEGLORYINTHEIRBIRT,SZBLG MSKYT CAHFM KBTGA 
CONFRONT,BUTDOTHYWORSTTOSTEAL,DIGIF HURYC EXKHB LVSNQ 
QUIRKIER,SOSHALLILIVESUPPOSIN,IIAYK TPZBC DVCCT GEMQE 
MONTREAL,THEYTHATHAVEPOWERTOH,FVRRK LAETO IXGSW PDHBA 
SLANTING,HOWSWEETANDLOVELYDOS,ZZWFP MRZSY DYHDR RQOOF 
MEANINGS,SOMESAYTHYFAULTISYOU,ESMRA NELTC FNCYZ AECOH 
WEANLING,HOWLIKEAWINTERHATHMY,DSWYT SRGSM NGPZU GPLML 
SLIMMEST,FROMYOUHAVEIBEENABSE,XCWYK SMASG MUNIW GSMAQ 
SNUFFLES,THEFORWARDVIOLETTHUS,LUYKT CASJQ PNTWI LLUOX 
GUILDERS,WHEREARTTHOUMUSETHAT,CBMCH EILZB WFPYJ WZBIE 
PLANTAIN,OTRUANTMUSEWHATSHALL,DERHT NBZJD EJAAB FWLLY 
DEMONISE,MYLOVEISSTRENGTHENDT,PCXCI MAWVX DSAOL LHRPH 
SHOWROOM,ALACKWHATPOVERTYMYMU,SSOYB KVMLW CRVFH KEFAQ 
SPANNING,TOMEFAIRFRIENDYOUNEV,LDMRS IVXXG IRALL UMCEI 
SEAMLESS,LETNOTMYLOVEBECALLDI,DITZZ XEQDS VQMIU SDPDU 
EMBEZZLE,WHENINTHECHRONICLEOF,ATFRH MELIO IVNMT GPQPJ 
AGITATED,WHENINTHECHRONICLEOF,WNMGI GXKEI PKOGM FLKWY 
UNTIRING,NOTMINEOWNFEARSNORTH,HBMUZ VRUQA YMRZF TIEMP 
UNFAIRLY,WHATSINTHEBRAINTHATI,QUFTA ZYRBR GRIZY RBNYI 
AMBIENCE,ONEVERSAYTHATIWASFAL,OZFDI EUEYF IIXVY ESRBT 
DUELLING,ALASTISTRUEIHAVEGONE,DFEDE QFZUO ITSII KJIRP 
DOMICILE,OFORMYSAKEDOYOUWITHF,RTAZO GDENS PWAWF ALHTN 
SCEPTICS,YOURLOVEANDPITYDOTHT,QQYGE WXWSP HEBBA VGVLI 
ABSTAINS,SINCEILEFTYOUMINEEYE,SJFVE QYWFU QHUUV FEFQX 
STOREMAN,ORWHETHERDOTHMYMINDB,GKKYI FHRJW CKLYY ZAGRS 
THREATEN,THOSELINESTHATIBEFOR,MOFWE EMAXZ KLAMM OXMFV 
PADDLERS,LETMENOTTOTHEMARRIAG,AEWPP RFLIO WKPQR JGIDJ 
POIGNANT,ACCUSEMETHUSTHATIHAV,PQKAF EZXIV CYGHN MXVIB 
MINUTELY,LIKEASTOMAKEOURAPPET,XQXYT WEMYI XYHYC YBXRN 
FRESHMAN,WHATPOTIONSHAVEIDRUN,BYELW ATVTE WZHHE VIIYF 
PANTRIES,THATYOUWEREONCEUNKIN,IHNMP WYOTR RHEKI MCKVG 
RIVALLED,TISBETTERTOBEVILETHA,KQNBP EXHIB JBPGM OVBCA 
FLAPPERS,THYGIFTTHYTABLESAREW,YSYVX JKLMJ TPQPV KFCEL 
REOPENED,NOTIMETHOUSHALTNOTBO,ESHXQ RXKFY GWEYX QFXPD 
ELEVATED,IFMYDEARLOVEWEREBUTT,MQQTD XEUPZ ZZWXV HFFXO 
BODYWORK,WERETAUGHTTOMEIBORET,XSUCP OLQIH WMISZ LPFHR 
TEENAGER,OTHOUMYLOVELYBOYWHOI,HXLBU SCCHZ IYYHS PPLSV 
POINTING,INTHEOLDAGEBLACKWASN,XBBUX WYJPU MOEIP QLOAA 
BLANDEST,HOWOFTWHENTHOUMYMUSI,IZWBI XOAFY TURYE RNFSV 
PLEURISY,THEEXPENSEOFSPIRITIN,ISIYO XWLHP SZJXA PXEMH 
ADOPTING,MYMISTRESSEYESARENOT,MBAXL BEKSV SNXAN XEQCI 
REARVIEW,THOUARTASTYRANNOUSSO,KLOLV ZXWJX YIVVR KLWSF 
DRILLING,THINEEYESILOVEANDTHE,WYQYP MLKVZ TZGMN TGKPP 
BEFRIEND,BESHREWTHATHEARTTHAT,CIXYZ IJWIE YYMEE WULFK 
FILTHILY,SONOWIHAVECONFESSDTH,XWYHD QSYAM NHUNP QXLEA 
PARALLAX,WHOEVERHATHHERWISHTH,LHFEG PREPT YHPCW FHHKH 
PROPERTY,IFTHYSOULCHEQUETHEET,XWHWC JHSAT VTULX RWVSI 
CAUTIOUS,THOUBLINDFOOLLOVEWHA,VHINJ ZCFFF IHTZI NGWBT 
FALLIBLE,WHENMYLOVESWEARSTHAT,BHPYU ZWSAE DHMBC WYHLE 
JERKIEST,OCALLNOTMETOJUSTIFYT,XGRVT RGMVI KYRYK MRJPD 
CHAINSAW,BEWISEASTHOUARTCRUEL,DLWQF WAOVO OCNJT YTBET 
INFERNAL,INFAITHIDONOTLOVETHE,QAKEZ GHTLB SSKYO GMGMI 
SQUADRON,LOVEISMYSINANDTHYDEA,DEPEL JALKY HAQUH UQTYA 
RESISTED,LOASACAREFULHOUSEWIF,CSSAS VEUVJ MTZHY VVAAN 
DOWNWIND,TWOLOVESIHAVEOFCOMFO,WKKYK DRVLV WIAWS FRABB 
GUSTIEST,THOSELIPSTHATLOVESOW,ZBGLM PAIYN ZTBPG OKMGP 
CLEARING,POORSOULTHECENTREOFM,RZSRJ WHRVS ICVVG XGZJM 
PULSATED,MYLOVEISASAFEVERLONG,BSWGV XMVPM LXEOI UAIYY 
ARCADING,OMEWHATEYESHATHLOVEP,ODGWK IGKYV UHDBU ROMGP 
PURENESS,CANSTTHOUOCRUELSAYIL,RUEWG XZGJI TVHID KPSZP 
DESIROUS,OFROMWHATPOWERHASTTH,RJJWD KBSWT GEVFB SVXLP 
LUSTROUS,LOVEISTOOYOUNGTOKNOW,WINXZ GNGZS GNEUN GVHGP 
THINNERS,INLOVINGTHEETHOUKNOW,BUTBI MEYMO MRGLF MDUWJ 
DECOYING,CUPIDLAIDBYHISBRANDA,FYRWB TNOGF AVGAO XDRFO 
CONSORTS,THELITTLELOVEGODLYIN,VVRDW KMDGZ BNSXH VNMVF 
TROUNCES,FROMFAIRESTCREATURES,YICGS CMJXJ HWEGE LNISM 
FEELINGS,WHENFORTYWINTERSSHAL,BLIYN BXLDA MYBRX KXLEW 
PRECINCT,LOOKINTHYGLASSANDTEL,AFSMQ AVANX PCAFC GSKIN 
EMULATES,UNTHRIFTYLOVELINESSW,YZNSR BJLCX IGEEM FIEMH 
SPECKLES,THOSEHOURSTHATWITHGE,LWSUO SSMJH XJKEA ALWKG 
PUSTULAR,THENLETNOTWINTERSRAG,IBWGF PTEDN OBHEE IHLSZ 
QUEEREST,LOINTHEORIENTWHENTHE,BIMRK LWHHC IRKAZ XDNLI 
MADDENED,MUSICTOHEARWHYHEARST,YUVLG GSKQA UZLLL HMRVW 
APPLAUSE,ISITFORFEARTOWETAWID,IHXEF IJJEP GEOQW XALXO 
GANGSTER,FORSHAMEDENYTHATTHOU,LOEYZ TQVJE AELAE KZHBA 
MISTRUST,ASFASTASTHOUSHALTWAN,MAXTJ NSLFP GNJBS EFESG 
CRIPPLED,WHENIDOCOUNTTHECLOCK,YYMCX OSFQL VIISI FNFKZ 
GROANERS,OTHATYOUWEREYOURSELF,UKVAG CFMCV FELSL JYVZF 
SORORITY,NOTFROMTHESTARSDOIMY,FCKTI WFRZS JHRZL BGWDM 
FECKLESS,WHENICONSIDEREVERYTH,BLGXT GGFXM FOCIN WWCVR 
BIPLANES,BUTWHEREFOREDONOTYOU,CCIHH RVWGW GPDBR GUGDF 
BUSHLAND,WHOWILLBELIEVEMYVERS,XBGDT LYEFF ALGEZ BWYJZ 
OUTCASTS,SHALLICOMPARETHEETOA,GBTNL AVGAJ TTELA WSNHC 
CURTNESS,DEVOURINGTIMEBLUNTTH,FYMHH VAFIN ZFRFD MPNKA 
BENDABLE,AWOMANSFACEWITHNATUR,BABPA ODJBG RZIUS RBXHU 
ROCKIEST,SOISITNOTWITHMEASWIT,JCKCQ XFHKK KDPQW TJKKD 
KENTUCKY,MYGLASSSHALLNOTPERSU,WCTEU UCQRE YEHQD NOVFN 
